Listing_ID,Property_ID,Community,Price_Cluster,Listing_Price,Sold_Price,Listing_Date,Sold_Date,Bedrooms,Bathrooms,Garage_Stalls,Size_sqft,Year_Built,Days_on_Market,Interest_Rate,Unemployment_Rate,Ownership_Type,Property_Age,Renovation_Status,Year,Downturn_2015_2016,Boom_2021,Rate_Hike_2022_2023,Assessed_Value,Assessment_Gap,Assessment_Ratio
RD-100015,2396,Oriole Park,Entry,206625.0,217468.65000000002,2020-08-12,2020-10-01,4,2,0,1117,1998,50,2.45,9.5,Investor,26,Renovated,2020,0,0,0,220280.09887932337,-2811.448879323347,0.9872369365474838
RD-100016,2123,Sunnybrook,Premium,605303.0,619057.0,2023-09-25,2024-02-12,4,4,0,2126,1982,140,5.5,5.6,Owner-Occupied,42,Not Renovated,2024,0,0,0,613945.7218857339,5111.2781142661115,1.0083252931522462
RD-100017,1871,Lancaster Green,Mid-High,247027.0,252674.1,2024-04-29,2024-07-21,3,1,0,1018,2021,83,4.75,6.1,Owner-Occupied,3,Renovated,2024,0,0,0,251730.45041752435,943.6495824756566,1.003748650911761
RD-100018,2687,Westlake,Mid-High,291074.0,289732.0,2023-07-13,2023-12-01,5,2,1,1162,2008,141,5.5,5.6,Owner-Occupied,16,Not Renovated,2023,0,0,1,272390.4242099144,17341.575790085597,1.0636644105253918
RD-100019,1130,Lancaster Green,Mid-High,524279.0,536849.0,2017-05-17,2017-10-07,4,4,2,2360,2016,143,2.75,7.0,Owner-Occupied,8,Not Renovated,2017,0,0,0,506473.7843197961,30375.215680203924,1.0599739149796241
RD-100020,2685,Lancaster Green,Mid-High,316879.0,318561.0,2020-01-24,2020-02-28,2,3,0,1360,2012,35,2.45,9.5,Owner-Occupied,12,Not Renovated,2020,0,0,0,309681.6776925948,8879.322307405178,1.0286724173466253
RD-100021,2332,Sunnybrook,Premium,327689.0,323333.0,2015-01-30,2015-02-22,2,1,1,1368,1979,23,2.75,7.2,Owner-Occupied,45,Not Renovated,2015,1,0,0,303030.91616568377,20302.083834316232,1.0669967410956047
RD-100022,1769,Oriole Park,Entry,217377.0,213340.0,2020-06-11,2020-08-09,6,4,0,1170,2005,59,2.45,9.5,Investor,19,Not Renovated,2020,0,0,0,202788.87973169982,10551.120268300176,1.0520300732577637
RD-100023,1343,Clearview Ridge,Mid-Low,278528.0,281092.0,2016-02-02,2016-07-24,5,4,1,1625,2021,173,2.5,8.1,Owner-Occupied,3,Not Renovated,2016,1,0,0,267640.6930851304,13451.30691486958,1.0502588255911856
RD-100024,2515,Sunnybrook,Premium,477789.0,500131.80000000005,2022-03-31,2022-04-30,4,1,0,1724,1987,30,4.5,5.9,Owner-Occupied,37,Renovated,2022,0,0,1,468104.85658515856,32026.943414841488,1.0684183104795775
RD-100025,2437,Vanier Woods,Mid,372274.0,375672.0,2019-09-25,2019-11-15,3,1,1,1847,2010,51,3.5,6.8,Owner-Occupied,14,Not Renovated,2019,0,0,0,353326.3845387227,22345.61546127731,1.0632435516822503
RD-100026,1805,Anders Park,Premium,719342.0,735080.0,2021-01-23,2021-01-31,3,2,1,2443,2006,8,2.0,7.8,Owner-Occupied,18,Not Renovated,2021,0,1,0,734238.4688023429,841.5311976571102,1.0011461279045073
RD-100027,1385,Clearview Ridge,Mid-Low,160929.0,165345.0,2015-08-29,2015-10-15,5,3,1,904,1993,47,2.75,7.2,Owner-Occupied,31,Not Renovated,2015,1,0,0,154881.89985701183,10463.100142988173,1.0675553447668693
RD-100028,2215,Eastview Estates,Mid-Low,244714.0,245333.0,2023-10-14,2024-03-09,3,3,0,1217,1978,147,5.5,5.6,Owner-Occupied,46,Not Renovated,2024,0,0,0,226404.51373132452,18928.48626867548,1.083604721287218
RD-100029,1955,Sunnybrook,Premium,264175.0,285052.95,2023-05-22,2023-08-15,6,4,2,1002,2008,85,5.5,5.6,Investor,16,Renovated,2023,0,0,1,280188.662299346,4864.2877006540075,1.017360758500132
RD-100030,1276,Anders Park,Premium,508652.0,536316.9,2015-11-25,2016-01-16,2,2,1,2118,1982,52,2.75,7.2,Owner-Occupied,42,Renovated,2016,1,0,0,545755.172104489,-9438.272104488919,0.9827060326921063
RD-100031,2184,Sunnybrook,Premium,669481.0,662105.0,2021-06-29,2021-12-03,2,4,2,2168,2012,157,2.0,7.8,Owner-Occupied,12,Not Renovated,2021,0,1,0,631066.4322731042,31038.567726895795,1.0491843110955763
RD-100032,1459,Timberlands,Mid,288680.0,302335.95,2017-12-04,2018-01-30,4,4,0,1388,2017,57,2.75,7.0,Investor,7,Renovated,2018,0,0,0,281736.46247487573,20599.487525124277,1.073116157362703
RD-100033,2337,Sunnybrook,Premium,487381.0,480515.0,2023-06-07,2023-06-30,6,1,0,1838,2009,23,5.5,5.6,Owner-Occupied,15,Not Renovated,2023,0,0,1,469481.7665648979,11033.233435102098,1.0235008773947283
RD-100034,1021,Lancaster Green,Mid-High,380184.0,382731.0,2018-11-30,2018-12-22,4,2,1,1656,2009,22,3.0,6.5,Owner-Occupied,15,Not Renovated,2018,0,0,0,386801.5053566848,-4070.505356684793,0.9894765007366473
RD-100035,1252,Oriole Park,Entry,180723.0,176757.0,2024-01-19,2024-07-09,6,3,2,916,1981,172,4.75,6.1,Owner-Occupied,43,Not Renovated,2024,0,0,0,176475.28080171425,281.71919828574755,1.0015963663409737
RD-100036,1747,Oriole Park,Entry,200365.0,196802.0,2016-04-17,2016-05-19,4,3,2,1218,1988,32,2.5,8.1,Investor,36,Not Renovated,2016,1,0,0,193309.07679353596,3492.9232064640382,1.0180691112098925
RD-100037,1856,Oriole Park,Entry,362955.0,375995.55,2022-02-10,2022-04-23,4,1,0,1900,2015,72,4.5,5.9,Investor,9,Renovated,2022,0,0,1,357761.89007230476,18233.659927695233,1.0509659089849122
RD-100038,2584,Westlake,Mid-High,468777.0,466743.0,2015-01-15,2015-04-15,4,2,2,2204,2003,90,2.75,7.2,Owner-Occupied,21,Not Renovated,2015,1,0,0,454695.4377715463,12047.562228453695,1.0264958942352678
RD-100039,1474,Anders Park,Premium,535247.0,532992.0,2015-02-09,2015-03-14,3,1,1,2315,2012,33,2.75,7.2,Owner-Occupied,12,Not Renovated,2015,1,0,0,495215.9170456438,37776.082954356214,1.0762820451727815
RD-100040,2082,Timberlands,Mid,465207.0,454120.0,2015-06-21,2015-09-12,2,3,0,2530,2018,83,2.75,7.2,Investor,6,Not Renovated,2015,1,0,0,448622.66960743384,5497.33039256616,1.0122537953719026
RD-100041,1510,Clearview Ridge,Mid-Low,461467.0,448309.0,2023-10-01,2024-02-26,3,2,0,2171,1986,148,5.5,5.6,Owner-Occupied,38,Not Renovated,2024,0,0,0,444950.98711359873,3358.012886401266,1.0075469276024867
RD-100042,2705,Clearview Ridge,Mid-Low,500077.0,536806.2000000001,2023-04-05,2023-07-04,3,3,0,2542,2019,90,5.5,5.6,Investor,5,Renovated,2023,0,0,1,545665.1998374107,-8858.999837410636,0.9837647703389362
RD-100043,2499,Lancaster Green,Mid-High,309037.0,327605.25,2024-08-17,2024-12-20,5,3,1,1308,1989,125,4.75,6.1,Owner-Occupied,35,Renovated,2024,0,0,0,309927.5841811019,17677.665818898124,1.0570380525038017
RD-100044,1699,Vanier Woods,Mid,216625.0,222878.0,2019-06-21,2019-09-18,4,3,2,1042,2007,89,3.5,6.8,Owner-Occupied,17,Not Renovated,2019,0,0,0,205459.1129763471,17418.887023652904,1.0847803087014116
RD-100045,1975,Sunnybrook,Premium,332432.0,334358.0,2021-01-05,2021-04-04,4,2,2,1136,1991,89,2.0,7.8,Owner-Occupied,33,Not Renovated,2021,0,1,0,325852.2154948933,8505.784505106683,1.0261031967887295
RD-100046,2806,Clearview Ridge,Mid-Low,404556.0,393497.0,2018-11-16,2019-02-09,6,1,1,2141,2011,85,3.0,6.5,Investor,13,Not Renovated,2019,0,0,0,389829.2343108633,3667.7656891366933,1.0094086470852308
RD-100047,1189,Oriole Park,Entry,427228.0,453009.9,2019-11-22,2019-11-27,6,2,1,2551,2002,5,3.5,6.8,Owner-Occupied,22,Renovated,2019,0,0,0,452575.3491609005,434.5508390995092,1.0009601734604088
RD-100048,1957,Timberlands,Mid,470615.0,465707.0,2018-09-14,2019-02-25,2,3,2,2258,1994,164,3.0,6.5,Owner-Occupied,30,Not Renovated,2019,0,0,0,437472.99772821856,28234.002271781443,1.0645388456393872
RD-100049,1686,Oriole Park,Entry,227260.0,232752.0,2022-10-26,2023-01-14,3,4,2,1160,1999,80,4.5,5.9,Investor,25,Not Renovated,2023,0,0,1,220224.19037741056,12527.80962258944,1.0568866190454365
RD-100050,1957,Vanier Woods,Mid,416510.0,423652.0,2021-11-26,2022-04-25,6,1,1,1731,1993,150,2.0,7.8,Owner-Occupied,31,Not Renovated,2022,0,0,1,411475.8570671341,12176.142932865885,1.029591390901166
RD-100051,1562,Timberlands,Mid,448499.0,479224.2,2021-10-20,2022-04-10,5,4,2,1852,1988,172,2.0,7.8,Owner-Occupied,36,Renovated,2022,0,0,1,456729.45486772264,22494.74513227737,1.0492517942351502
RD-100052,2899,Anders Park,Premium,378455.0,374150.0,2023-12-05,2024-01-22,6,3,0,1481,2023,48,5.5,5.6,Owner-Occupied,1,Not Renovated,2024,0,0,0,376414.03727066924,-2264.0372706692433,0.9939852475027618
RD-100053,2590,Westlake,Mid-High,244233.0,237973.0,2024-01-17,2024-03-12,2,2,1,950,2014,55,4.75,6.1,Owner-Occupied,10,Not Renovated,2024,0,0,0,230209.37250656646,7763.627493433538,1.0337242024896796
RD-100054,2267,Inglewood,Entry,212883.0,215280.0,2019-08-25,2020-02-07,5,4,1,1298,1990,166,3.5,6.8,Owner-Occupied,34,Not Renovated,2020,0,0,0,215270.92905022792,9.070949772081804,1.0000421373652824
RD-100055,1831,Clearview Ridge,Mid-Low,269081.0,274705.0,2023-06-03,2023-07-05,3,4,0,1348,2010,32,5.5,5.6,Owner-Occupied,14,Not Renovated,2023,0,0,1,268678.5151303305,6026.484869669483,1.0224300959335961
RD-100056,2528,Eastview Estates,Mid-Low,457627.0,468391.0,2020-02-13,2020-03-23,6,3,1,2267,2014,39,2.45,9.5,Investor,10,Not Renovated,2020,0,0,0,467130.5664522181,1260.4335477818968,1.0026982467821677
RD-100057,2154,Eastview Estates,Mid-Low,226867.0,228741.0,2019-10-14,2020-03-07,5,4,1,1225,2023,145,3.5,6.8,Investor,1,Not Renovated,2020,0,0,0,218051.31516119328,10689.684838806716,1.0490237118308798
RD-100058,2508,Eastview Estates,Mid-Low,444809.0,437723.0,2023-08-03,2023-12-19,3,3,1,2183,1979,138,5.5,5.6,Investor,45,Not Renovated,2023,0,0,1,439098.17780012015,-1375.1778001201455,0.996868176937081
RD-100059,2842,Oriole Park,Entry,189990.0,201960.15,2018-10-07,2019-01-01,3,2,0,1065,1999,86,3.0,6.5,Investor,25,Renovated,2019,0,0,0,191348.60460345316,10611.545396546833,1.0554566123883578
RD-100060,1646,Clearview Ridge,Mid-Low,274620.0,286969.2,2015-09-21,2016-01-10,6,4,1,1577,1978,111,2.75,7.2,Owner-Occupied,46,Renovated,2016,1,0,0,279683.0178053658,7286.182194634224,1.0260515717107457
RD-100061,1020,Sunnybrook,Premium,703309.0,729551.55,2023-08-20,2024-01-21,6,4,1,2467,1975,154,5.5,5.6,Owner-Occupied,49,Renovated,2024,0,0,0,686800.3481127026,42751.201887297444,1.0622469135386665
RD-100062,1840,Oriole Park,Entry,415594.0,415236.0,2019-05-17,2019-09-06,6,2,1,2430,1989,112,3.5,6.8,Owner-Occupied,35,Not Renovated,2019,0,0,0,401762.6930733974,13473.306926602614,1.033535485396951
RD-100063,1166,Clearview Ridge,Mid-Low,466271.0,477655.0,2019-05-12,2019-08-11,3,4,0,2383,2014,91,3.5,6.8,Owner-Occupied,10,Not Renovated,2019,0,0,0,454640.397969788,23014.602030212,1.0506215508630217
RD-100064,2297,Sunnybrook,Premium,313806.0,311530.0,2021-08-21,2022-01-17,5,2,1,1071,1986,149,2.0,7.8,Owner-Occupied,38,Not Renovated,2022,0,0,1,294916.21197464113,16613.788025358866,1.0563339258771824
RD-100065,1387,Timberlands,Mid,337078.0,353301.9,2017-05-16,2017-09-14,5,3,1,1591,1991,121,2.75,7.0,Owner-Occupied,33,Renovated,2017,0,0,0,359201.51241408405,-5899.612414084026,0.9835757584247502
RD-100066,1600,Sunnybrook,Premium,452384.0,487817.4,2023-05-27,2023-10-17,3,1,2,1616,1977,143,5.5,5.6,Owner-Occupied,47,Renovated,2023,0,0,1,456600.7013945863,31216.698605413723,1.0683676098395583
RD-100067,1315,Inglewood,Entry,198095.0,203417.0,2017-03-27,2017-04-06,3,2,1,1212,2017,10,2.75,7.0,Owner-Occupied,7,Not Renovated,2017,0,0,0,203159.1859878071,257.8140121928882,1.001269024636712
RD-100068,1013,Timberlands,Mid,252174.0,244997.0,2020-03-19,2020-05-28,6,1,0,1243,1994,70,2.45,9.5,Investor,30,Not Renovated,2020,0,0,0,249508.98625785092,-4511.98625785092,0.9819165380553144
RD-100069,1241,Clearview Ridge,Mid-Low,344876.0,339555.0,2018-07-01,2018-11-30,3,1,2,1712,2019,152,3.0,6.5,Owner-Occupied,5,Not Renovated,2018,0,0,0,313066.36483113625,26488.63516886375,1.084610287608352
RD-100070,1776,Inglewood,Entry,473249.0,469574.0,2022-10-26,2023-01-16,2,1,1,2549,2009,82,4.5,5.9,Owner-Occupied,15,Not Renovated,2023,0,0,1,464832.5898921403,4741.410107859701,1.0102002531899923
RD-100071,2369,Timberlands,Mid,204314.0,216274.80000000002,2020-09-03,2021-02-20,5,4,0,925,2002,170,2.45,9.5,Investor,22,Renovated,2021,0,1,0,204442.6610164325,11832.138983567507,1.0578750977156204
RD-100072,1564,Westlake,Mid-High,457103.0,456139.0,2024-04-17,2024-08-17,3,3,2,1791,2009,122,4.75,6.1,Investor,15,Not Renovated,2024,0,0,0,421494.6875701289,34644.31242987112,1.0821939479939637
RD-100073,1897,Vanier Woods,Mid,344746.0,344016.0,2024-04-05,2024-09-08,3,1,1,1560,2003,156,4.75,6.1,Owner-Occupied,21,Not Renovated,2024,0,0,0,330354.7661394345,13661.233860565524,1.0413532216296206
RD-100074,2363,Clearview Ridge,Mid-Low,364944.0,379853.25,2021-11-04,2022-04-29,2,4,1,1588,1986,176,2.0,7.8,Owner-Occupied,38,Renovated,2022,0,0,1,384989.542465129,-5136.292465128994,0.9866586182257295
RD-100075,1091,Vanier Woods,Mid,426751.0,432387.0,2017-11-24,2018-02-24,4,1,2,2120,1987,92,2.75,7.0,Owner-Occupied,37,Not Renovated,2018,0,0,0,398304.74738580635,34082.252614193654,1.0855682811663323
RD-100076,2390,Lancaster Green,Mid-High,514446.0,531145.65,2020-06-24,2020-11-18,5,4,1,2314,1976,147,2.45,9.5,Owner-Occupied,48,Renovated,2020,0,0,0,519879.2907965744,11266.359203425643,1.0216711059718555
RD-100077,1955,Vanier Woods,Mid,523443.0,547158.15,2022-10-04,2022-12-10,6,3,1,2259,2010,67,4.5,5.9,Investor,14,Renovated,2022,0,0,1,530819.8149644732,16338.335035526776,1.0307794369669872
RD-100078,2478,Timberlands,Mid,339309.0,361004.7,2023-05-14,2023-10-06,5,3,1,1620,1991,145,5.5,5.6,Owner-Occupied,33,Renovated,2023,0,0,1,363653.90282435215,-2649.2028243521345,0.9927150436066358
RD-100079,2451,Oriole Park,Entry,429820.0,435612.0,2018-07-16,2018-08-20,3,2,0,2460,2022,35,3.0,6.5,Investor,2,Not Renovated,2018,0,0,0,404422.2554865759,31189.744513424113,1.0771217312852839
RD-100080,1508,Inglewood,Entry,260329.0,257240.0,2023-07-11,2023-11-27,2,2,1,1479,1989,139,5.5,5.6,Owner-Occupied,35,Not Renovated,2023,0,0,1,254192.3755928042,3047.6244071958063,1.011989440674955
RD-100081,1775,Westlake,Mid-High,376930.0,368478.0,2022-12-10,2023-04-30,2,1,2,1461,1993,141,4.5,5.9,Owner-Occupied,31,Not Renovated,2023,0,0,1,364060.30614592973,4417.693854070269,1.0121345111771112
RD-100082,2966,Anders Park,Premium,248263.0,255740.1,2024-09-27,2025-02-04,6,3,1,925,2005,130,4.75,6.1,Owner-Occupied,19,Renovated,2025,0,0,0,252391.95104203623,3348.148957963771,1.0132656724754512
RD-100083,1034,Eastview Estates,Mid-Low,199574.0,211896.30000000002,2015-07-30,2015-10-07,2,4,1,1133,1979,69,2.75,7.2,Investor,45,Renovated,2015,1,0,0,214912.3152839103,-3016.0152839102957,0.9859662984881719
RD-100084,1205,Inglewood,Entry,244336.0,245894.0,2016-09-13,2016-10-26,2,2,0,1522,2010,43,2.5,8.1,Investor,14,Not Renovated,2016,1,0,0,246461.70848576177,-567.7084857617738,0.9976965651611777
RD-100085,2104,Lancaster Green,Mid-High,575879.0,578937.0,2023-11-13,2024-04-24,6,4,1,2488,2003,163,5.5,5.6,Owner-Occupied,21,Not Renovated,2024,0,0,0,535051.9964213236,43885.00357867638,1.0820200725764966
RD-100086,2955,Inglewood,Entry,358405.0,361855.0,2019-10-23,2020-01-14,2,1,0,2171,2015,83,3.5,6.8,Owner-Occupied,9,Not Renovated,2020,0,0,0,349952.9684941682,11902.031505831808,1.034010374471306
RD-100087,2585,Westlake,Mid-High,427422.0,451319.4,2016-10-05,2016-12-10,2,2,0,2030,2001,66,2.5,8.1,Owner-Occupied,23,Renovated,2016,1,0,0,433174.24145529524,18145.158544704784,1.0418888216523314
RD-100088,2895,Lancaster Green,Mid-High,326313.0,321703.0,2018-04-07,2018-04-20,4,4,0,1490,2018,13,3.0,6.5,Owner-Occupied,6,Not Renovated,2018,0,0,0,305944.28914665745,15758.710853342549,1.0515084327845992
RD-100089,2411,Inglewood,Entry,391267.0,383027.0,2023-11-15,2024-04-28,3,4,0,2254,2009,165,5.5,5.6,Owner-Occupied,15,Not Renovated,2024,0,0,0,369672.25518255983,13354.744817440165,1.0361259051232963
RD-100090,2025,Anders Park,Premium,263784.0,270451.0,2017-12-24,2018-02-03,3,3,2,1022,2022,41,2.75,7.0,Owner-Occupied,2,Not Renovated,2018,0,0,0,259205.49015074156,11245.509849258437,1.0433845357315488
RD-100091,2021,Eastview Estates,Mid-Low,440655.0,439009.0,2019-12-04,2020-01-09,4,4,1,2310,2007,36,3.5,6.8,Owner-Occupied,17,Not Renovated,2020,0,0,0,422868.1273051833,16140.872694816673,1.0381699911924736
RD-100092,2413,Clearview Ridge,Mid-Low,538166.0,570983.7000000001,2021-09-15,2021-09-30,4,3,0,2404,1980,15,2.0,7.8,Owner-Occupied,44,Renovated,2021,0,1,0,581219.2603294125,-10235.56032941246,0.9823895025027021
RD-100093,1565,Inglewood,Entry,173279.0,172679.0,2024-08-25,2025-01-24,4,1,0,942,2005,152,4.75,6.1,Owner-Occupied,19,Not Renovated,2025,0,0,0,160395.1853446783,12283.814655321708,1.0765846844400262
RD-100094,2129,Inglewood,Entry,301848.0,298607.0,2018-02-13,2018-04-05,5,1,1,1792,1997,51,3.0,6.5,Owner-Occupied,27,Not Renovated,2018,0,0,0,302256.8993349934,-3649.899334993388,0.9879245127471906
RD-100095,2795,Timberlands,Mid,339038.0,340057.0,2016-03-04,2016-04-19,5,3,2,1743,2000,46,2.5,8.1,Owner-Occupied,24,Not Renovated,2016,1,0,0,329183.22560728167,10873.774392718333,1.0330325895940118
RD-100096,2845,Timberlands,Mid,308703.0,299464.0,2020-02-06,2020-03-04,4,1,1,1416,2007,27,2.45,9.5,Owner-Occupied,17,Not Renovated,2020,0,0,0,294185.71478062746,5278.285219372541,1.0179420174202154
RD-100097,2500,Eastview Estates,Mid-Low,362673.0,362640.0,2024-09-30,2025-02-20,2,2,2,1746,1998,143,4.75,6.1,Owner-Occupied,26,Not Renovated,2025,0,0,0,363734.55510142405,-1094.5551014240482,0.9969907860386846
RD-100098,1702,Lancaster Green,Mid-High,337741.0,337431.0,2019-12-16,2020-01-03,6,2,1,1446,2003,18,3.5,6.8,Investor,21,Not Renovated,2020,0,0,0,322599.66003888624,14831.339961113757,1.0459744438643426
RD-100099,1401,Inglewood,Entry,377341.0,394020.9,2015-04-29,2015-10-12,3,2,1,2536,2010,166,2.75,7.2,Investor,14,Renovated,2015,1,0,0,379458.7507604538,14562.149239546212,1.0383761059940322
RD-100100,1729,Eastview Estates,Mid-Low,216792.0,224537.25,2017-07-09,2017-08-12,3,4,2,1140,1993,34,2.75,7.0,Investor,31,Renovated,2017,0,0,0,215769.48533859616,8767.764661403839,1.0406348684923867
RD-100101,2579,Eastview Estates,Mid-Low,299186.0,299334.0,2024-05-12,2024-09-17,5,2,1,1399,1987,128,4.75,6.1,Owner-Occupied,37,Not Renovated,2024,0,0,0,286604.2535899719,12729.746410028078,1.044415762329333
RD-100102,1161,Anders Park,Premium,408229.0,402910.0,2024-11-10,2024-12-19,5,3,2,1465,1992,39,4.75,6.1,Owner-Occupied,32,Not Renovated,2024,0,0,0,407967.70189847506,-5057.701898475061,0.9876026904214743
RD-100103,1201,Inglewood,Entry,382071.0,378230.0,2018-05-07,2018-10-09,5,2,1,2251,2009,155,3.0,6.5,Owner-Occupied,15,Not Renovated,2018,0,0,0,379324.2152745933,-1094.2152745933272,0.9971153561240449
RD-100104,2981,Clearview Ridge,Mid-Low,377795.0,390343.8,2023-07-22,2023-12-13,4,2,2,1832,1990,144,5.5,5.6,Owner-Occupied,34,Renovated,2023,0,0,1,363371.0430243075,26972.756975692464,1.0742292416897077
RD-100105,1995,Sunnybrook,Premium,435804.0,439779.0,2023-09-12,2023-12-31,5,4,1,1551,2017,110,5.5,5.6,Owner-Occupied,7,Not Renovated,2023,0,0,1,409351.71798290254,30427.28201709746,1.0743304124067907
RD-100106,1269,Sunnybrook,Premium,265906.0,272454.0,2016-09-15,2017-01-24,6,3,0,1158,2003,131,2.5,8.1,Owner-Occupied,21,Not Renovated,2017,0,0,0,262315.1560799757,10138.843920024286,1.038651384355897
RD-100107,2886,Clearview Ridge,Mid-Low,395368.0,419937.0,2015-03-04,2015-04-14,3,1,1,2240,1991,41,2.75,7.2,Owner-Occupied,33,Renovated,2015,1,0,0,390485.0282813046,29451.971718695422,1.075424074127314
RD-100108,1815,Timberlands,Mid,525616.0,533796.0,2022-04-15,2022-05-10,6,4,1,2281,2015,25,4.5,5.9,Owner-Occupied,9,Not Renovated,2022,0,0,1,524139.2617883343,9656.73821166571,1.0184239932317176
RD-100109,2294,Sunnybrook,Premium,633229.0,684734.4,2024-10-13,2025-03-05,2,2,2,2164,2018,143,4.75,6.1,Investor,6,Renovated,2025,0,0,0,639794.7066483399,44939.69335166016,1.0702408020645926
RD-100110,1455,Clearview Ridge,Mid-Low,220909.0,214666.0,2023-05-17,2023-06-14,2,4,0,1101,2019,28,5.5,5.6,Investor,5,Not Renovated,2023,0,0,1,208706.29790826974,5959.702091730258,1.0285554492195998
RD-100111,2485,Vanier Woods,Mid,344209.0,345571.0,2018-08-21,2018-09-09,4,4,0,1634,1990,19,3.0,6.5,Investor,34,Not Renovated,2018,0,0,0,318174.8204306022,27396.17956939782,1.0861041723299196
RD-100112,2750,Westlake,Mid-High,295933.0,303263.0,2023-11-21,2024-01-11,2,4,2,1258,2018,51,5.5,5.6,Owner-Occupied,6,Not Renovated,2024,0,0,0,288603.15584086644,14659.844159133558,1.0507958553551537
RD-100113,2275,Eastview Estates,Mid-Low,366691.0,373393.0,2016-08-09,2016-10-12,4,4,1,2206,2017,64,2.5,8.1,Owner-Occupied,7,Not Renovated,2016,1,0,0,368807.38758843037,4585.612411569629,1.0124336240701526
RD-100114,2016,Oriole Park,Entry,209726.0,215540.0,2018-03-24,2018-09-18,2,4,1,1223,2012,178,3.0,6.5,Owner-Occupied,12,Not Renovated,2018,0,0,0,208729.77531767104,6810.224682328961,1.0326269918700592
