LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet,Latitude,Longitude
LINC-100015,CGL-200015,"1140 Centre St N, Calgary, AB",Mahogany,Townhouse,4,2.6,830099,1951,3286,50.90152,-114.25992
LINC-100016,CGL-200016,"1976 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,3,1.3,705884,1970,2358,51.128075,-114.13232
LINC-100017,CGL-200017,"153 Elbow Dr SW, Calgary, AB",Panorama Hills,Condo,5,3.3,782342,1963,3061,51.011665,-113.96508
LINC-100018,CGL-200018,"4989 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,5,1.6,642077,1970,2709,50.90663,-114.20612
LINC-100019,CGL-200019,"8789 17 Ave SW, Calgary, AB",Signal Hill,Condo,4,1.1,630612,1989,1480,50.994235,-114.09452
LINC-100020,CGL-200020,"1049 8 Ave NE, Calgary, AB",Signal Hill,Detached,1,3.2,1105662,1958,2681,50.95836,-114.013
LINC-100021,CGL-200021,"2160 8 Ave NE, Calgary, AB",Panorama Hills,Condo,5,1.5,803306,2004,1367,50.969315,-114.2534
LINC-100022,CGL-200022,"8935 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,2,3.1,668373,1997,2294,50.926965,-114.28864
LINC-100024,CGL-200024,"9741 8 Ave NE, Calgary, AB",Beltline,Detached,1,1.7,1199401,1954,1853,51.100005,-113.93072
LINC-100025,CGL-200025,"1260 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,4,1.6,388739,2023,2860,51.189185,-114.19628
LINC-100026,CGL-200026,"7844 8 Ave NE, Calgary, AB",Seton,Condo,4,1.6,351639,2005,1951,50.90866,-114.22728
LINC-100027,CGL-200027,"7039 Centre St N, Calgary, AB",Mahogany,Townhouse,1,3.0,927568,1962,748,50.92315,-114.18308
LINC-100028,CGL-200028,"6696 Elbow Dr SW, Calgary, AB",Tuscany,Detached,2,1.6,812336,2007,1074,51.082645,-114.299
LINC-100030,CGL-200030,"1704 17 Ave SW, Calgary, AB",Panorama Hills,Townhouse,1,3.9,1040170,1980,1181,50.857315,-114.02468
LINC-100031,CGL-200031,"6758 Centre St N, Calgary, AB",Mahogany,Detached,4,3.7,422634,1998,508,50.973515,-114.18608
LINC-100032,CGL-200032,"6496 MacLeod Trail SE, Calgary, AB",Seton,Condo,3,2.3,1015990,2021,3211,51.112325,-114.1292
LINC-100034,CGL-200034,"5238 17 Ave SW, Calgary, AB",Beltline,Townhouse,4,2.5,1144141,2017,1144,51.122755,-114.02864
LINC-100035,CGL-200035,"1031 Crowchild Trail NW, Calgary, AB",Beltline,Detached,1,2.8,958011,1980,2153,51.06637,-114.24888
LINC-100036,CGL-200036,"2064 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,5,1.1,335965,2003,3192,51.098885,-114.16352
LINC-100037,CGL-200037,"9662 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,3,1.6,1000981,1990,1477,51.180225,-114.0222
LINC-100038,CGL-200038,"4451 Centre St N, Calgary, AB",Brentwood,Townhouse,3,2.4,1038387,1959,538,51.17053,-114.271
LINC-100039,CGL-200039,"7608 Crowchild Trail NW, Calgary, AB",Signal Hill,Detached,1,2.6,780458,1983,1042,51.114355,-114.1682
LINC-100040,CGL-200040,"5818 17 Ave SW, Calgary, AB",Brentwood,Condo,3,1.5,1124244,2019,3381,50.934665,-114.0482
LINC-100041,CGL-200041,"5056 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,5,1.0,1106795,2020,1726,51.193245,-114.25296
LINC-100042,CGL-200042,"1797 8 Ave NE, Calgary, AB",Tuscany,Detached,1,3.2,412998,1984,1654,50.91993,-114.07056
LINC-100043,CGL-200043,"3550 Elbow Dr SW, Calgary, AB",Tuscany,Detached,3,2.5,513319,1956,878,51.10172,-113.9124
LINC-100044,CGL-200044,"7039 Memorial Dr NE, Calgary, AB",Tuscany,Detached,1,2.0,387174,1983,1161,51.013345,-113.96868
LINC-100045,CGL-200045,"7339 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,5,1.0,328898,1969,2734,51.14414,-114.11816
LINC-100046,CGL-200046,"690 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,5,1.4,383636,1955,1762,51.04005,-114.09304
LINC-100047,CGL-200047,"6074 Memorial Dr NE, Calgary, AB",Seton,Detached,3,1.6,511650,1963,1948,51.192615,-114.154
LINC-100048,CGL-200048,"9273 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,2,3.8,498237,1970,1225,51.194085,-114.14228
LINC-100049,CGL-200049,"6855 17 Ave SW, Calgary, AB",Brentwood,Townhouse,3,3.3,681712,1981,1592,50.89753,-114.2812
LINC-100050,CGL-200050,"2708 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,4,3.6,1150300,2010,1411,50.99203,-113.97816
LINC-100051,CGL-200051,"3369 Memorial Dr NE, Calgary, AB",Mahogany,Condo,3,3.5,1163648,1979,1413,50.99014,-114.26048
LINC-100052,CGL-200052,"487 Elbow Dr SW, Calgary, AB",Brentwood,Condo,3,1.8,322792,1985,1938,50.92231,-114.0216
LINC-100053,CGL-200053,"8446 Centre St N, Calgary, AB",Panorama Hills,Townhouse,3,3.8,370944,1983,1231,51.11971,-114.09492
LINC-100054,CGL-200054,"9612 MacLeod Trail SE, Calgary, AB",Beltline,Detached,5,2.3,1013934,1990,2287,51.052685,-114.23088
LINC-100055,CGL-200055,"8479 17 Ave SW, Calgary, AB",Mahogany,Townhouse,2,1.8,993215,2005,506,50.935015,-114.2266
LINC-100056,CGL-200056,"8618 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,2,2.1,323372,1992,3052,51.008795,-114.23284
LINC-100057,CGL-200057,"5243 Elbow Dr SW, Calgary, AB",Seton,Detached,3,2.5,949287,2002,1836,50.91223,-114.21548
LINC-100058,CGL-200058,"6692 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,2,1.6,947229,1998,3274,51.113655,-113.96756
LINC-100059,CGL-200059,"2951 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,4,2.6,250425,1988,1675,50.9858,-114.16692
LINC-100060,CGL-200060,"3543 Centre St N, Calgary, AB",Seton,Townhouse,5,3.0,737575,2006,2311,50.903305,-113.91064
LINC-100061,CGL-200061,"3601 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,2,3.0,547571,2015,3219,50.89739,-114.05084
LINC-100062,CGL-200062,"5591 17 Ave SW, Calgary, AB",Seton,Detached,3,1.7,458802,1968,600,50.986885,-114.10584
LINC-100063,CGL-200063,"857 8 Ave NE, Calgary, AB",Mahogany,Townhouse,1,2.4,1179181,2023,1296,50.856475,-114.10668
LINC-100064,CGL-200064,"6391 Centre St N, Calgary, AB",Mahogany,Detached,2,3.0,255814,1963,2241,51.002635,-114.12816
LINC-100066,CGL-200066,"7578 8 Ave NE, Calgary, AB",Seton,Condo,5,4.0,874377,1990,2312,51.10858,-114.27276
LINC-100067,CGL-200067,"8370 Centre St N, Calgary, AB",Seton,Townhouse,4,3.7,1029779,2010,2343,51.04446,-114.16136
LINC-100068,CGL-200068,"4346 Memorial Dr NE, Calgary, AB",Brentwood,Townhouse,3,3.3,796622,2012,3067,51.15331,-114.17344
LINC-100069,CGL-200069,"4019 MacLeod Trail SE, Calgary, AB",Mahogany,Detached,3,1.7,602161,1990,2712,50.95843,-114.23436
LINC-100070,CGL-200070,"1420 8 Ave NE, Calgary, AB",Brentwood,Detached,4,3.1,990734,1977,763,50.96466,-114.22168
LINC-100071,CGL-200071,"6897 Centre St N, Calgary, AB",Tuscany,Townhouse,4,2.2,466881,2003,2095,51.04831,-114.07456
LINC-100072,CGL-200072,"9669 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,4,2.4,618845,1988,2097,50.998225,-113.9814
LINC-100073,CGL-200073,"6965 Crowchild Trail NW, Calgary, AB",Panorama Hills,Townhouse,5,3.4,1191423,1978,2499,51.138855,-113.95656
LINC-100074,CGL-200074,"3695 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,1,2.2,951364,2001,3466,50.913455,-113.94028
LINC-100075,CGL-200075,"2804 Memorial Dr NE, Calgary, AB",Mahogany,Detached,5,2.6,663160,2022,3215,51.00596,-114.29552
LINC-100076,CGL-200076,"544 17 Ave SW, Calgary, AB",Panorama Hills,Condo,2,3.6,440556,1956,1565,51.000255,-114.2928
LINC-100077,CGL-200077,"6311 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,3,2.0,1172369,1998,1639,51.03032,-114.25676
LINC-100078,CGL-200078,"7006 MacLeod Trail SE, Calgary, AB",Seton,Detached,4,1.1,815621,1956,1933,51.157265,-113.95464
LINC-100080,CGL-200080,"2596 8 Ave NE, Calgary, AB",Brentwood,Condo,1,2.7,478552,2009,3365,51.126955,-113.9128
LINC-100081,CGL-200081,"4298 Memorial Dr NE, Calgary, AB",Tuscany,Detached,5,2.8,1034256,1964,1170,51.05272,-114.2974
LINC-100082,CGL-200082,"5196 17 Ave SW, Calgary, AB",Signal Hill,Detached,3,2.7,643537,2000,3428,51.0411,-113.99448
LINC-100083,CGL-200083,"3349 17 Ave SW, Calgary, AB",Signal Hill,Townhouse,2,1.3,1060004,1988,3302,50.95325,-114.21148
LINC-100085,CGL-200085,"8389 Elbow Dr SW, Calgary, AB",Tuscany,Detached,4,3.5,360665,2005,1983,51.084045,-114.116
LINC-100086,CGL-200086,"7632 Elbow Dr SW, Calgary, AB",Brentwood,Condo,2,3.2,932054,1984,3022,51.177145,-114.10268
LINC-100087,CGL-200087,"8917 Memorial Dr NE, Calgary, AB",Mahogany,Condo,4,3.5,871254,1984,1820,51.101055,-114.16844
LINC-100088,CGL-200088,"4122 Memorial Dr NE, Calgary, AB",Beltline,Condo,4,1.7,737282,2022,2999,51.03025,-114.1848
LINC-100089,CGL-200089,"6309 MacLeod Trail SE, Calgary, AB",Beltline,Condo,3,1.5,472423,1995,1558,51.14232,-114.23164
LINC-100090,CGL-200090,"5676 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,3,2.7,791722,1974,850,51.185615,-114.21868
LINC-100091,CGL-200091,"4054 Elbow Dr SW, Calgary, AB",Mahogany,Condo,5,3.3,974156,2010,3145,50.887275,-114.28844
LINC-100092,CGL-200092,"8141 Centre St N, Calgary, AB",Seton,Detached,1,1.9,674045,1981,1754,50.975405,-114.0286
LINC-100093,CGL-200093,"9628 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,5,2.0,1032169,2020,1854,50.90404,-113.90688
LINC-100094,CGL-200094,"5864 Elbow Dr SW, Calgary, AB",Mahogany,Condo,3,1.8,376516,1974,1792,51.03431,-113.92944
LINC-100095,CGL-200095,"2058 Elbow Dr SW, Calgary, AB",Signal Hill,Townhouse,2,1.6,1024483,2011,1632,50.92735,-114.2088
LINC-100096,CGL-200096,"9759 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,3,3.9,1123074,1974,1713,51.110365,-114.05008
LINC-100097,CGL-200097,"3827 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,1,3.1,382731,1985,686,50.96536,-113.9268
LINC-100098,CGL-200098,"993 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,2,2.9,1039359,2012,920,51.1055,-114.22432
LINC-100099,CGL-200099,"300 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,4,2.3,443319,1956,1534,51.019295,-113.92576
LINC-100101,CGL-200101,"2544 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,1,4.0,374205,2021,2204,51.12657,-114.23904
LINC-100102,CGL-200102,"9866 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,5,2.1,714226,1988,2910,51.09822,-113.94884
LINC-100103,CGL-200103,"7125 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,1,2.8,1026039,1962,1351,51.01289,-113.9048
LINC-100104,CGL-200104,"3557 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,2,1.7,828805,1959,1141,51.00596,-113.91528
LINC-100105,CGL-200105,"143 Centre St N, Calgary, AB",Mahogany,Townhouse,5,2.4,284225,1979,1680,50.974915,-114.2076
LINC-100107,CGL-200107,"1980 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,2,3.7,1116785,1968,792,51.02668,-113.9746
LINC-100108,CGL-200108,"1077 8 Ave NE, Calgary, AB",Seton,Condo,5,3.2,846856,1986,2298,51.03459,-114.02564
LINC-100109,CGL-200109,"2137 Centre St N, Calgary, AB",Panorama Hills,Condo,4,3.8,774783,2019,2522,51.121215,-113.95272
LINC-100110,CGL-200110,"7272 17 Ave SW, Calgary, AB",Signal Hill,Detached,4,3.2,883039,1982,605,51.09318,-113.971
LINC-100111,CGL-200111,"1596 8 Ave NE, Calgary, AB",Panorama Hills,Townhouse,5,3.9,1051909,1984,2860,51.16031,-114.01664
LINC-100112,CGL-200112,"759 Memorial Dr NE, Calgary, AB",Seton,Detached,4,2.6,713711,1985,1243,51.12552,-114.08464
LINC-100113,CGL-200113,"9690 Centre St N, Calgary, AB",Panorama Hills,Condo,1,2.4,678184,1992,1815,50.946425,-114.29672
LINC-100114,CGL-200114,"1813 Memorial Dr NE, Calgary, AB",Brentwood,Condo,4,3.1,552218,2001,2753,50.89536,-114.26976
LINC-100115,CGL-200115,"701 Centre St N, Calgary, AB",Beltline,Condo,3,2.0,1060075,2001,2607,51.153555,-114.28968
LINC-100116,CGL-200116,"118 Elbow Dr SW, Calgary, AB",Seton,Townhouse,4,2.2,446694,2016,1981,51.078235,-114.11772
LINC-100117,CGL-200117,"8267 Elbow Dr SW, Calgary, AB",Mahogany,Detached,2,1.8,387377,1986,2294,51.09185,-114.28108
LINC-100118,CGL-200118,"8041 17 Ave SW, Calgary, AB",Beltline,Townhouse,5,3.4,994261,1970,1772,50.89025,-113.90996
LINC-100119,CGL-200119,"9124 17 Ave SW, Calgary, AB",Signal Hill,Condo,1,1.7,1132277,1964,2390,51.00085,-113.95032
LINC-100120,CGL-200120,"2024 Elbow Dr SW, Calgary, AB",Seton,Detached,4,3.8,556039,2015,3389,50.98818,-113.94684
LINC-100121,CGL-200121,"4579 Centre St N, Calgary, AB",Seton,Condo,4,1.7,828043,1968,2071,51.0131,-113.91228
LINC-100122,CGL-200122,"3222 Crowchild Trail NW, Calgary, AB",Signal Hill,Townhouse,2,3.6,539666,2003,1892,50.855635,-114.20984
LINC-100123,CGL-200123,"8418 MacLeod Trail SE, Calgary, AB",Seton,Detached,3,3.2,1128157,2012,1108,50.996405,-114.29108
LINC-100124,CGL-200124,"7416 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,3,2.7,819827,1998,2365,51.10088,-114.03584
LINC-100125,CGL-200125,"5372 Memorial Dr NE, Calgary, AB",Brentwood,Townhouse,2,2.7,494907,2002,678,50.981775,-113.91824
LINC-100126,CGL-200126,"5313 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,4,2.2,945928,1969,2528,50.88892,-113.91736
LINC-100127,CGL-200127,"706 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,3,3.6,1166655,2006,908,51.134865,-113.95756
LINC-100128,CGL-200128,"8717 Centre St N, Calgary, AB",Beltline,Townhouse,2,2.2,936587,1969,806,50.98363,-113.9844
LINC-100129,CGL-200129,"7792 Memorial Dr NE, Calgary, AB",Tuscany,Condo,5,3.1,931403,1960,1845,50.866555,-114.17964
LINC-100130,CGL-200130,"8842 Centre St N, Calgary, AB",Tuscany,Townhouse,4,3.6,287642,1958,1461,50.868445,-114.29736
LINC-100131,CGL-200131,"4808 8 Ave NE, Calgary, AB",Panorama Hills,Detached,4,3.9,1047305,1962,2317,51.1097,-114.23292
LINC-100132,CGL-200132,"2825 Elbow Dr SW, Calgary, AB",Tuscany,Detached,1,2.0,308845,1987,1968,51.03109,-114.25036
LINC-100133,CGL-200133,"6241 Centre St N, Calgary, AB",Brentwood,Detached,5,2.2,964919,1973,1196,51.125205,-114.11592
LINC-100134,CGL-200134,"2968 17 Ave SW, Calgary, AB",Signal Hill,Condo,5,3.0,771841,1968,1451,50.874325,-113.92364
LINC-100135,CGL-200135,"7655 Elbow Dr SW, Calgary, AB",Tuscany,Condo,3,3.0,1192573,2009,1678,50.85406,-113.9884
LINC-100136,CGL-200136,"9055 8 Ave NE, Calgary, AB",Beltline,Condo,3,4.0,563685,2004,3327,51.06266,-114.02632
LINC-100137,CGL-200137,"4197 Centre St N, Calgary, AB",Seton,Condo,2,4.0,1144787,2011,936,51.114355,-113.97324
LINC-100138,CGL-200138,"3986 Centre St N, Calgary, AB",Signal Hill,Condo,5,1.9,983247,1987,589,51.078305,-113.9194
LINC-100139,CGL-200139,"6584 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,1,3.7,1031369,2013,1672,50.857175,-114.00672
LINC-100140,CGL-200140,"3870 Crowchild Trail NW, Calgary, AB",Seton,Condo,2,2.9,901051,1982,3276,51.06126,-114.13052
LINC-100141,CGL-200141,"2340 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,1,1.9,712236,1954,2873,51.050305,-114.23336
LINC-100142,CGL-200142,"6077 Elbow Dr SW, Calgary, AB",Brentwood,Detached,3,2.0,685686,1972,1322,50.95367,-113.98028
LINC-100143,CGL-200143,"2265 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,5,2.5,535765,1971,1552,50.95458,-114.03024
LINC-100145,CGL-200145,"3796 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,4,3.9,1093671,2021,1998,50.958045,-114.06236
LINC-100146,CGL-200146,"1579 Memorial Dr NE, Calgary, AB",Mahogany,Detached,3,2.6,726877,1997,3255,51.07624,-114.08832
LINC-100147,CGL-200147,"4395 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,3,1.3,495180,2010,602,50.886155,-114.13528
LINC-100148,CGL-200148,"9298 MacLeod Trail SE, Calgary, AB",Signal Hill,Detached,1,2.9,736819,1988,3159,51.09304,-114.09336
LINC-100149,CGL-200149,"6789 17 Ave SW, Calgary, AB",Brentwood,Detached,1,1.9,766554,1964,898,51.16129,-114.21068
LINC-100150,CGL-200150,"3946 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,4,2.1,1029238,2019,2216,51.108615,-113.96204
LINC-100152,CGL-200152,"6786 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,3,1.7,716297,1980,1985,51.092725,-114.12004
LINC-100153,CGL-200153,"1727 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,3,1.2,539282,1974,1000,50.93785,-114.08416
LINC-100154,CGL-200154,"7550 17 Ave SW, Calgary, AB",Panorama Hills,Detached,5,3.9,303035,1992,1497,51.148235,-114.22992
LINC-100155,CGL-200155,"2163 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,1,3.5,831128,1976,2901,51.08786,-114.0572
LINC-100156,CGL-200156,"3638 Memorial Dr NE, Calgary, AB",Seton,Detached,3,3.3,1076952,1950,1635,51.183795,-114.25308
LINC-100158,CGL-200158,"343 MacLeod Trail SE, Calgary, AB",Seton,Detached,5,2.0,432710,1983,714,51.11831,-113.92892
LINC-100159,CGL-200159,"2176 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,1,3.2,749380,2007,1982,51.067315,-114.23352
LINC-100160,CGL-200160,"8508 Crowchild Trail NW, Calgary, AB",Beltline,Condo,5,1.7,894986,1955,3478,51.060035,-113.91264
LINC-100161,CGL-200161,"8643 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,1,1.2,752248,2001,2246,51.14918,-114.21756
LINC-100162,CGL-200162,"1868 Centre St N, Calgary, AB",Panorama Hills,Condo,1,3.7,587758,1968,769,51.032875,-114.07592
LINC-100163,CGL-200163,"2167 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,5,2.6,590981,1998,2946,51.104415,-114.2748
LINC-100164,CGL-200164,"8792 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,5,2.3,1081621,1964,3181,51.146065,-114.0868
LINC-100165,CGL-200165,"9133 Elbow Dr SW, Calgary, AB",Seton,Detached,4,2.4,489592,2002,1888,50.893505,-114.26872
LINC-100166,CGL-200166,"7530 Centre St N, Calgary, AB",Mahogany,Townhouse,1,1.9,577704,1982,2033,51.098325,-113.9644
LINC-100167,CGL-200167,"2600 Elbow Dr SW, Calgary, AB",Mahogany,Detached,1,3.5,347758,2005,895,51.088105,-114.13172
LINC-100169,CGL-200169,"2102 Centre St N, Calgary, AB",Tuscany,Townhouse,4,3.6,1006086,1956,1678,50.92749,-114.29076
LINC-100170,CGL-200170,"9937 MacLeod Trail SE, Calgary, AB",Tuscany,Detached,5,2.5,412246,2011,1418,51.143055,-113.95396
LINC-100171,CGL-200171,"1873 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,3,1.3,542099,2023,1426,50.898755,-114.18504
LINC-100172,CGL-200172,"7130 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,5,3.0,833783,1953,2994,50.968055,-114.26416
LINC-100173,CGL-200173,"4481 17 Ave SW, Calgary, AB",Brentwood,Condo,3,3.8,618074,1950,1243,50.95682,-114.08764
LINC-100174,CGL-200174,"2447 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,1,1.4,913928,1953,875,51.164335,-113.99436
LINC-100175,CGL-200175,"8791 8 Ave NE, Calgary, AB",Mahogany,Condo,4,2.0,638028,1989,3455,51.07869,-114.26528
LINC-100176,CGL-200176,"5414 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,1,3.7,413137,1970,3030,51.132065,-114.10896
LINC-100177,CGL-200177,"915 Elbow Dr SW, Calgary, AB",Beltline,Condo,4,3.0,759253,2006,2196,51.133255,-114.19812
LINC-100178,CGL-200178,"4575 8 Ave NE, Calgary, AB",Seton,Townhouse,1,2.0,366276,1986,3277,51.17991,-114.22432
LINC-100180,CGL-200180,"3449 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,3,1.9,375812,1950,2537,51.15926,-114.13936
LINC-100181,CGL-200181,"7155 8 Ave NE, Calgary, AB",Brentwood,Condo,5,3.1,774563,2021,3236,50.932075,-113.96596
LINC-100182,CGL-200182,"5902 17 Ave SW, Calgary, AB",Mahogany,Townhouse,1,2.3,732087,1959,1782,51.01471,-114.15384
LINC-100183,CGL-200183,"9533 Centre St N, Calgary, AB",Signal Hill,Condo,4,1.9,674707,1952,1830,51.174975,-113.99524
LINC-100184,CGL-200184,"2915 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,3,1.3,1135506,1963,1496,51.133045,-114.08944
LINC-100185,CGL-200185,"7238 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,1,2.2,575346,1993,1407,50.861095,-114.08688
LINC-100186,CGL-200186,"5556 Memorial Dr NE, Calgary, AB",Brentwood,Detached,5,2.9,806379,2015,1294,51.17228,-114.03032
LINC-100187,CGL-200187,"5824 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,2,1.7,403557,1982,1308,51.059615,-113.98448
LINC-100188,CGL-200188,"2942 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,1,1.5,1060389,2013,2400,51.037845,-113.91756
LINC-100189,CGL-200189,"9336 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,5,2.9,904858,1991,3069,51.07141,-114.20372
LINC-100190,CGL-200190,"5279 8 Ave NE, Calgary, AB",Mahogany,Detached,4,2.3,567530,1985,2922,50.976875,-113.94756
LINC-100191,CGL-200191,"1020 MacLeod Trail SE, Calgary, AB",Signal Hill,Detached,3,2.4,289434,1957,2010,51.16766,-114.0532
LINC-100192,CGL-200192,"4803 17 Ave SW, Calgary, AB",Panorama Hills,Detached,5,2.8,653159,2009,2877,51.055275,-114.24144
LINC-100193,CGL-200193,"9181 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,4,3.7,849425,1974,1816,51.10795,-114.19252
LINC-100194,CGL-200194,"7892 Crowchild Trail NW, Calgary, AB",Brentwood,Detached,4,1.3,1192802,1993,3425,51.113585,-114.07728
LINC-100195,CGL-200195,"1481 Crowchild Trail NW, Calgary, AB",Panorama Hills,Detached,1,1.7,709022,2006,2646,50.93925,-114.24812
LINC-100196,CGL-200196,"8664 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,3,3.8,656235,2002,1885,50.91678,-114.1608
LINC-100197,CGL-200197,"9895 17 Ave SW, Calgary, AB",Seton,Townhouse,3,1.2,349096,2021,3278,51.014535,-114.01016
LINC-100198,CGL-200198,"6433 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,5,3.6,599555,1960,2886,50.969455,-114.27136
LINC-100200,CGL-200200,"9257 Centre St N, Calgary, AB",Panorama Hills,Condo,2,3.0,1119226,2017,882,51.03172,-114.261
LINC-100201,CGL-200201,"7037 Crowchild Trail NW, Calgary, AB",Tuscany,Detached,3,1.9,474597,1993,2491,50.884475,-114.23884
LINC-100202,CGL-200202,"3245 8 Ave NE, Calgary, AB",Brentwood,Detached,1,1.9,1076403,1962,2579,50.961895,-113.9996
LINC-100203,CGL-200203,"8943 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,1,3.0,1168964,1966,2946,50.996125,-113.95144
LINC-100204,CGL-200204,"6272 8 Ave NE, Calgary, AB",Brentwood,Detached,5,3.4,423580,2006,678,51.06385,-114.04196
LINC-100205,CGL-200205,"6831 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,2,3.9,890255,1986,2338,50.96515,-114.1116
LINC-100206,CGL-200206,"3933 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,4,3.7,453440,1997,3278,51.029725,-113.9882
