LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet
LINC-100057,CGL-200057,"5243 Elbow Dr SW, Calgary, AB",Seton,Detached,3,2.5,949287,2002,1836
LINC-100058,CGL-200058,"6692 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,2,1.6,947229,1998,3274
LINC-100059,CGL-200059,"2951 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,4,2.6,250425,1988,1675
LINC-100060,CGL-200060,"3543 Centre St N, Calgary, AB",Seton,Townhouse,5,3.0,737575,2006,2311
LINC-100061,CGL-200061,"3601 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,2,3.0,547571,2015,3219
LINC-100062,CGL-200062,"5591 17 Ave SW, Calgary, AB",Seton,Detached,3,1.7,458802,1968,600
LINC-100063,CGL-200063,"857 8 Ave NE, Calgary, AB",Mahogany,Townhouse,1,2.4,1179181,2023,1296
LINC-100064,CGL-200064,"6391 Centre St N, Calgary, AB",Mahogany,Detached,2,3.0,255814,1963,2241
LINC-100065,CGL-200065,"3685 8 Ave NE, Calgary, AB",Seton,Townhouse,5,2.4,834482,1981,997
LINC-100066,CGL-200066,"7578 8 Ave NE, Calgary, AB",Seton,Condo,5,4.0,874377,1990,2312
LINC-100067,CGL-200067,"8370 Centre St N, Calgary, AB",Seton,Townhouse,4,3.7,1029779,2010,2343
LINC-100068,CGL-200068,"4346 Memorial Dr NE, Calgary, AB",Brentwood,Townhouse,3,3.3,796622,2012,3067
LINC-100069,CGL-200069,"4019 MacLeod Trail SE, Calgary, AB",Mahogany,Detached,3,1.7,602161,1990,2712
LINC-100070,CGL-200070,"1420 8 Ave NE, Calgary, AB",Brentwood,Detached,4,3.1,990734,1977,763
LINC-100071,CGL-200071,"6897 Centre St N, Calgary, AB",Tuscany,Townhouse,4,2.2,466881,2003,2095
LINC-100072,CGL-200072,"9669 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,4,2.4,618845,1988,2097
LINC-100073,CGL-200073,"6965 Crowchild Trail NW, Calgary, AB",Panorama Hills,Townhouse,5,3.4,1191423,1978,2499
LINC-100074,CGL-200074,"3695 MacLeod Trail SE, Calgary, AB",Mahogany,Condo,1,2.2,951364,2001,3466
LINC-100075,CGL-200075,"2804 Memorial Dr NE, Calgary, AB",Mahogany,Detached,5,2.6,663160,2022,3215
LINC-100076,CGL-200076,"544 17 Ave SW, Calgary, AB",Panorama Hills,Condo,2,3.6,440556,1956,1565
LINC-100077,CGL-200077,"6311 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,3,2.0,1172369,1998,1639
LINC-100078,CGL-200078,"7006 MacLeod Trail SE, Calgary, AB",Seton,Detached,4,1.1,815621,1956,1933
LINC-100079,CGL-200079,"3773 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,1,3.3,509295,1975,583
LINC-100080,CGL-200080,"2596 8 Ave NE, Calgary, AB",Brentwood,Condo,1,2.7,478552,2009,3365
LINC-100081,CGL-200081,"4298 Memorial Dr NE, Calgary, AB",Tuscany,Detached,5,2.8,1034256,1964,1170
LINC-100082,CGL-200082,"5196 17 Ave SW, Calgary, AB",Signal Hill,Detached,3,2.7,643537,2000,3428
LINC-100083,CGL-200083,"3349 17 Ave SW, Calgary, AB",Signal Hill,Townhouse,2,1.3,1060004,1988,3302
LINC-100084,CGL-200084,"9937 Memorial Dr NE, Calgary, AB",Beltline,Townhouse,1,2.0,699186,1997,782
LINC-100085,CGL-200085,"8389 Elbow Dr SW, Calgary, AB",Tuscany,Detached,4,3.5,360665,2005,1983
LINC-100086,CGL-200086,"7632 Elbow Dr SW, Calgary, AB",Brentwood,Condo,2,3.2,932054,1984,3022
LINC-100087,CGL-200087,"8917 Memorial Dr NE, Calgary, AB",Mahogany,Condo,4,3.5,871254,1984,1820
LINC-100088,CGL-200088,"4122 Memorial Dr NE, Calgary, AB",Beltline,Condo,4,1.7,737282,2022,2999
LINC-100089,CGL-200089,"6309 MacLeod Trail SE, Calgary, AB",Beltline,Condo,3,1.5,472423,1995,1558
LINC-100090,CGL-200090,"5676 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,3,2.7,791722,1974,850
LINC-100091,CGL-200091,"4054 Elbow Dr SW, Calgary, AB",Mahogany,Condo,5,3.3,974156,2010,3145
LINC-100092,CGL-200092,"8141 Centre St N, Calgary, AB",Seton,Detached,1,1.9,674045,1981,1754
LINC-100093,CGL-200093,"9628 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,5,2.0,1032169,2020,1854
LINC-100094,CGL-200094,"5864 Elbow Dr SW, Calgary, AB",Mahogany,Condo,3,1.8,376516,1974,1792
LINC-100095,CGL-200095,"2058 Elbow Dr SW, Calgary, AB",Signal Hill,Townhouse,2,1.6,1024483,2011,1632
LINC-100096,CGL-200096,"9759 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,3,3.9,1123074,1974,1713
LINC-100097,CGL-200097,"3827 MacLeod Trail SE, Calgary, AB",Brentwood,Condo,1,3.1,382731,1985,686
LINC-100098,CGL-200098,"993 Crowchild Trail NW, Calgary, AB",Tuscany,Townhouse,2,2.9,1039359,2012,920
LINC-100099,CGL-200099,"300 Crowchild Trail NW, Calgary, AB",Tuscany,Condo,4,2.3,443319,1956,1534
LINC-100100,CGL-200100,"7927 17 Ave SW, Calgary, AB",Seton,Detached,4,2.5,855050,1956,1121
LINC-100101,CGL-200101,"2544 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,1,4.0,374205,2021,2204
LINC-100102,CGL-200102,"9866 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,5,2.1,714226,1988,2910
LINC-100103,CGL-200103,"7125 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,1,2.8,1026039,1962,1351
LINC-100104,CGL-200104,"3557 MacLeod Trail SE, Calgary, AB",Panorama Hills,Detached,2,1.7,828805,1959,1141
LINC-100105,CGL-200105,"143 Centre St N, Calgary, AB",Mahogany,Townhouse,5,2.4,284225,1979,1680
LINC-100106,CGL-200106,"4732 Elbow Dr SW, Calgary, AB",Seton,Condo,1,3.1,527405,1975,2241
LINC-100107,CGL-200107,"1980 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,2,3.7,1116785,1968,792
LINC-100108,CGL-200108,"1077 8 Ave NE, Calgary, AB",Seton,Condo,5,3.2,846856,1986,2298
LINC-100109,CGL-200109,"2137 Centre St N, Calgary, AB",Panorama Hills,Condo,4,3.8,774783,2019,2522
LINC-100110,CGL-200110,"7272 17 Ave SW, Calgary, AB",Signal Hill,Detached,4,3.2,883039,1982,605
LINC-100111,CGL-200111,"1596 8 Ave NE, Calgary, AB",Panorama Hills,Townhouse,5,3.9,1051909,1984,2860
LINC-100112,CGL-200112,"759 Memorial Dr NE, Calgary, AB",Seton,Detached,4,2.6,713711,1985,1243
LINC-100113,CGL-200113,"9690 Centre St N, Calgary, AB",Panorama Hills,Condo,1,2.4,678184,1992,1815
LINC-100114,CGL-200114,"1813 Memorial Dr NE, Calgary, AB",Brentwood,Condo,4,3.1,552218,2001,2753
LINC-100115,CGL-200115,"701 Centre St N, Calgary, AB",Beltline,Condo,3,2.0,1060075,2001,2607
LINC-100116,CGL-200116,"118 Elbow Dr SW, Calgary, AB",Seton,Townhouse,4,2.2,446694,2016,1981
LINC-100117,CGL-200117,"8267 Elbow Dr SW, Calgary, AB",Mahogany,Detached,2,1.8,387377,1986,2294
LINC-100118,CGL-200118,"8041 17 Ave SW, Calgary, AB",Beltline,Townhouse,5,3.4,994261,1970,1772
LINC-100119,CGL-200119,"9124 17 Ave SW, Calgary, AB",Signal Hill,Condo,1,1.7,1132277,1964,2390
LINC-100120,CGL-200120,"2024 Elbow Dr SW, Calgary, AB",Seton,Detached,4,3.8,556039,2015,3389
LINC-100121,CGL-200121,"4579 Centre St N, Calgary, AB",Seton,Condo,4,1.7,828043,1968,2071
LINC-100122,CGL-200122,"3222 Crowchild Trail NW, Calgary, AB",Signal Hill,Townhouse,2,3.6,539666,2003,1892
LINC-100123,CGL-200123,"8418 MacLeod Trail SE, Calgary, AB",Seton,Detached,3,3.2,1128157,2012,1108
LINC-100124,CGL-200124,"7416 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,3,2.7,819827,1998,2365
LINC-100125,CGL-200125,"5372 Memorial Dr NE, Calgary, AB",Brentwood,Townhouse,2,2.7,494907,2002,678
LINC-100126,CGL-200126,"5313 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,4,2.2,945928,1969,2528
LINC-100127,CGL-200127,"706 8 Ave NE, Calgary, AB",Signal Hill,Townhouse,3,3.6,1166655,2006,908
LINC-100128,CGL-200128,"8717 Centre St N, Calgary, AB",Beltline,Townhouse,2,2.2,936587,1969,806
LINC-100129,CGL-200129,"7792 Memorial Dr NE, Calgary, AB",Tuscany,Condo,5,3.1,931403,1960,1845
LINC-100130,CGL-200130,"8842 Centre St N, Calgary, AB",Tuscany,Townhouse,4,3.6,287642,1958,1461
LINC-100131,CGL-200131,"4808 8 Ave NE, Calgary, AB",Panorama Hills,Detached,4,3.9,1047305,1962,2317
LINC-100132,CGL-200132,"2825 Elbow Dr SW, Calgary, AB",Tuscany,Detached,1,2.0,308845,1987,1968
LINC-100133,CGL-200133,"6241 Centre St N, Calgary, AB",Brentwood,Detached,5,2.2,964919,1973,1196
LINC-100134,CGL-200134,"2968 17 Ave SW, Calgary, AB",Signal Hill,Condo,5,3.0,771841,1968,1451
LINC-100135,CGL-200135,"7655 Elbow Dr SW, Calgary, AB",Tuscany,Condo,3,3.0,1192573,2009,1678
LINC-100136,CGL-200136,"9055 8 Ave NE, Calgary, AB",Beltline,Condo,3,4.0,563685,2004,3327
LINC-100137,CGL-200137,"4197 Centre St N, Calgary, AB",Seton,Condo,2,4.0,1144787,2011,936
LINC-100138,CGL-200138,"3986 Centre St N, Calgary, AB",Signal Hill,Condo,5,1.9,983247,1987,589
LINC-100139,CGL-200139,"6584 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,1,3.7,1031369,2013,1672
LINC-100140,CGL-200140,"3870 Crowchild Trail NW, Calgary, AB",Seton,Condo,2,2.9,901051,1982,3276
LINC-100141,CGL-200141,"2340 Elbow Dr SW, Calgary, AB",Beltline,Townhouse,1,1.9,712236,1954,2873
LINC-100142,CGL-200142,"6077 Elbow Dr SW, Calgary, AB",Brentwood,Detached,3,2.0,685686,1972,1322
LINC-100143,CGL-200143,"2265 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,5,2.5,535765,1971,1552
LINC-100144,CGL-200144,"7994 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,3,3.4,741081,1959,1076
LINC-100145,CGL-200145,"3796 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,4,3.9,1093671,2021,1998
LINC-100146,CGL-200146,"1579 Memorial Dr NE, Calgary, AB",Mahogany,Detached,3,2.6,726877,1997,3255
LINC-100147,CGL-200147,"4395 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,3,1.3,495180,2010,602
LINC-100148,CGL-200148,"9298 MacLeod Trail SE, Calgary, AB",Signal Hill,Detached,1,2.9,736819,1988,3159
LINC-100149,CGL-200149,"6789 17 Ave SW, Calgary, AB",Brentwood,Detached,1,1.9,766554,1964,898
LINC-100150,CGL-200150,"3946 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,4,2.1,1029238,2019,2216
LINC-100151,CGL-200151,"9722 Elbow Dr SW, Calgary, AB",Panorama Hills,Detached,4,3.0,1124190,2012,3021
LINC-100152,CGL-200152,"6786 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,3,1.7,716297,1980,1985
LINC-100153,CGL-200153,"1727 Elbow Dr SW, Calgary, AB",Tuscany,Townhouse,3,1.2,539282,1974,1000
LINC-100154,CGL-200154,"7550 17 Ave SW, Calgary, AB",Panorama Hills,Detached,5,3.9,303035,1992,1497
LINC-100155,CGL-200155,"2163 Memorial Dr NE, Calgary, AB",Signal Hill,Detached,1,3.5,831128,1976,2901
LINC-100156,CGL-200156,"3638 Memorial Dr NE, Calgary, AB",Seton,Detached,3,3.3,1076952,1950,1635
LINC-100157,CGL-200157,"2470 8 Ave NE, Calgary, AB",Signal Hill,Condo,2,1.3,1158536,1953,1039
LINC-100158,CGL-200158,"343 MacLeod Trail SE, Calgary, AB",Seton,Detached,5,2.0,432710,1983,714
LINC-100159,CGL-200159,"2176 Elbow Dr SW, Calgary, AB",Mahogany,Townhouse,1,3.2,749380,2007,1982
LINC-100160,CGL-200160,"8508 Crowchild Trail NW, Calgary, AB",Beltline,Condo,5,1.7,894986,1955,3478
LINC-100161,CGL-200161,"8643 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,1,1.2,752248,2001,2246
LINC-100162,CGL-200162,"1868 Centre St N, Calgary, AB",Panorama Hills,Condo,1,3.7,587758,1968,769
LINC-100163,CGL-200163,"2167 MacLeod Trail SE, Calgary, AB",Signal Hill,Townhouse,5,2.6,590981,1998,2946
LINC-100164,CGL-200164,"8792 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,5,2.3,1081621,1964,3181
LINC-100165,CGL-200165,"9133 Elbow Dr SW, Calgary, AB",Seton,Detached,4,2.4,489592,2002,1888
LINC-100166,CGL-200166,"7530 Centre St N, Calgary, AB",Mahogany,Townhouse,1,1.9,577704,1982,2033
LINC-100167,CGL-200167,"2600 Elbow Dr SW, Calgary, AB",Mahogany,Detached,1,3.5,347758,2005,895
LINC-100168,CGL-200168,"6205 Memorial Dr NE, Calgary, AB",Brentwood,Townhouse,1,2.8,838866,2021,1850
LINC-100169,CGL-200169,"2102 Centre St N, Calgary, AB",Tuscany,Townhouse,4,3.6,1006086,1956,1678
LINC-100170,CGL-200170,"9937 MacLeod Trail SE, Calgary, AB",Tuscany,Detached,5,2.5,412246,2011,1418
LINC-100171,CGL-200171,"1873 MacLeod Trail SE, Calgary, AB",Seton,Townhouse,3,1.3,542099,2023,1426
LINC-100172,CGL-200172,"7130 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,5,3.0,833783,1953,2994
LINC-100173,CGL-200173,"4481 17 Ave SW, Calgary, AB",Brentwood,Condo,3,3.8,618074,1950,1243
LINC-100174,CGL-200174,"2447 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,1,1.4,913928,1953,875
LINC-100175,CGL-200175,"8791 8 Ave NE, Calgary, AB",Mahogany,Condo,4,2.0,638028,1989,3455
LINC-100176,CGL-200176,"5414 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,1,3.7,413137,1970,3030
LINC-100177,CGL-200177,"915 Elbow Dr SW, Calgary, AB",Beltline,Condo,4,3.0,759253,2006,2196
LINC-100178,CGL-200178,"4575 8 Ave NE, Calgary, AB",Seton,Townhouse,1,2.0,366276,1986,3277
LINC-100179,CGL-200179,"9817 Centre St N, Calgary, AB",Signal Hill,Townhouse,3,1.1,664463,1957,531
LINC-100180,CGL-200180,"3449 MacLeod Trail SE, Calgary, AB",Brentwood,Detached,3,1.9,375812,1950,2537
LINC-100181,CGL-200181,"7155 8 Ave NE, Calgary, AB",Brentwood,Condo,5,3.1,774563,2021,3236
LINC-100182,CGL-200182,"5902 17 Ave SW, Calgary, AB",Mahogany,Townhouse,1,2.3,732087,1959,1782
LINC-100183,CGL-200183,"9533 Centre St N, Calgary, AB",Signal Hill,Condo,4,1.9,674707,1952,1830
LINC-100184,CGL-200184,"2915 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,3,1.3,1135506,1963,1496
LINC-100185,CGL-200185,"7238 Crowchild Trail NW, Calgary, AB",Mahogany,Townhouse,1,2.2,575346,1993,1407
LINC-100186,CGL-200186,"5556 Memorial Dr NE, Calgary, AB",Brentwood,Detached,5,2.9,806379,2015,1294
LINC-100187,CGL-200187,"5824 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,2,1.7,403557,1982,1308
LINC-100188,CGL-200188,"2942 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,1,1.5,1060389,2013,2400
LINC-100189,CGL-200189,"9336 Memorial Dr NE, Calgary, AB",Signal Hill,Condo,5,2.9,904858,1991,3069
LINC-100190,CGL-200190,"5279 8 Ave NE, Calgary, AB",Mahogany,Detached,4,2.3,567530,1985,2922
LINC-100191,CGL-200191,"1020 MacLeod Trail SE, Calgary, AB",Signal Hill,Detached,3,2.4,289434,1957,2010
LINC-100192,CGL-200192,"4803 17 Ave SW, Calgary, AB",Panorama Hills,Detached,5,2.8,653159,2009,2877
LINC-100193,CGL-200193,"9181 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,4,3.7,849425,1974,1816
LINC-100194,CGL-200194,"7892 Crowchild Trail NW, Calgary, AB",Brentwood,Detached,4,1.3,1192802,1993,3425
LINC-100195,CGL-200195,"1481 Crowchild Trail NW, Calgary, AB",Panorama Hills,Detached,1,1.7,709022,2006,2646
LINC-100196,CGL-200196,"8664 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,3,3.8,656235,2002,1885
LINC-100197,CGL-200197,"9895 17 Ave SW, Calgary, AB",Seton,Townhouse,3,1.2,349096,2021,3278
LINC-100198,CGL-200198,"6433 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,5,3.6,599555,1960,2886
LINC-100199,CGL-200199,"2417 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,4,1.4,993266,1960,1768
LINC-100200,CGL-200200,"9257 Centre St N, Calgary, AB",Panorama Hills,Condo,2,3.0,1119226,2017,882
LINC-100201,CGL-200201,"7037 Crowchild Trail NW, Calgary, AB",Tuscany,Detached,3,1.9,474597,1993,2491
LINC-100202,CGL-200202,"3245 8 Ave NE, Calgary, AB",Brentwood,Detached,1,1.9,1076403,1962,2579
LINC-100203,CGL-200203,"8943 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,1,3.0,1168964,1966,2946
LINC-100204,CGL-200204,"6272 8 Ave NE, Calgary, AB",Brentwood,Detached,5,3.4,423580,2006,678
LINC-100205,CGL-200205,"6831 MacLeod Trail SE, Calgary, AB",Panorama Hills,Townhouse,2,3.9,890255,1986,2338
LINC-100206,CGL-200206,"3933 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,4,3.7,453440,1997,3278
LINC-100207,CGL-200207,"9445 Centre St N, Calgary, AB",Mahogany,Condo,4,2.5,688997,1970,1317
LINC-100208,CGL-200208,"2367 Memorial Dr NE, Calgary, AB",Tuscany,Detached,4,3.6,831478,1963,3413
LINC-100209,CGL-200209,"8552 Memorial Dr NE, Calgary, AB",Beltline,Condo,1,3.3,536042,2007,2602
LINC-100210,CGL-200210,"2514 Memorial Dr NE, Calgary, AB",Mahogany,Detached,2,3.5,1177601,1994,609
LINC-100211,CGL-200211,"6897 17 Ave SW, Calgary, AB",Mahogany,Townhouse,3,1.7,335569,1997,1419
LINC-100212,CGL-200212,"561 MacLeod Trail SE, Calgary, AB",Beltline,Townhouse,3,3.4,394283,1954,1675
LINC-100213,CGL-200213,"7840 Elbow Dr SW, Calgary, AB",Seton,Detached,4,2.3,255506,1960,577
LINC-100214,CGL-200214,"4293 8 Ave NE, Calgary, AB",Seton,Detached,5,3.8,888457,2017,2233
LINC-100215,CGL-200215,"1921 Memorial Dr NE, Calgary, AB",Tuscany,Detached,3,1.4,500021,2003,3117
LINC-100216,CGL-200216,"7589 17 Ave SW, Calgary, AB",Beltline,Condo,5,2.6,912652,2015,2855
LINC-100217,CGL-200217,"4063 Elbow Dr SW, Calgary, AB",Brentwood,Condo,4,1.0,619954,1980,2837
LINC-100218,CGL-200218,"6925 8 Ave NE, Calgary, AB",Panorama Hills,Townhouse,1,2.6,628120,1958,2654
LINC-100219,CGL-200219,"9014 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,5,1.1,1165754,2010,678
LINC-100220,CGL-200220,"6438 MacLeod Trail SE, Calgary, AB",Tuscany,Townhouse,1,2.1,320841,1994,1487
LINC-100221,CGL-200221,"1798 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,3,1.4,619412,2019,1886
LINC-100222,CGL-200222,"2968 Memorial Dr NE, Calgary, AB",Seton,Townhouse,4,3.9,751776,1973,1052
LINC-100223,CGL-200223,"1133 Elbow Dr SW, Calgary, AB",Seton,Condo,1,1.9,295934,1975,671
LINC-100224,CGL-200224,"5270 MacLeod Trail SE, Calgary, AB",Signal Hill,Condo,5,2.4,288399,1974,1671
LINC-100225,CGL-200225,"5948 Memorial Dr NE, Calgary, AB",Seton,Detached,3,1.8,1088171,1997,2289
LINC-100226,CGL-200226,"6653 Elbow Dr SW, Calgary, AB",Mahogany,Condo,3,3.9,770306,2013,2004
